'charged', 'aliphatic', 'aromatic', 'polar', 'neutral', 'hydrophobic', 'positively_charged', 'negatively_charged', 'tiny', 'small', 'large',Label
14.835, 29.487, 16.3, 17.949, 37.363, 44.689, 8.974, 5.861, 31.868, 50.916, 17.216,amino
19.863, 24.658, 10.959, 25.685, 39.041, 35.274, 12.329, 7.534, 37.671, 50.0, 12.329,amino
19.135, 21.631, 16.805, 24.792, 37.937, 37.271, 9.151, 9.983, 32.446, 49.917, 17.637,amino
15.079, 30.159, 14.087, 18.651, 39.087, 42.262, 8.929, 6.151, 32.738, 52.778, 14.484,amino
14.196, 27.129, 15.615, 21.767, 35.174, 43.06, 6.467, 7.729, 31.073, 52.05, 16.877,amino
11.111, 32.85, 7.971, 16.667, 39.855, 43.478, 6.763, 4.348, 37.923, 51.932, 10.145,amino
14.591, 29.537, 14.413, 20.463, 37.9, 41.637, 8.719, 5.872, 32.562, 50.712, 16.726,amino
15.443, 27.872, 12.994, 23.352, 35.782, 40.866, 7.91, 7.533, 32.768, 51.977, 15.254,amino
20.209, 30.139, 8.014, 24.39, 35.192, 40.418, 10.627, 9.582, 33.972, 56.969, 9.059,amino
15.712, 30.499, 7.579, 19.963, 41.035, 39.002, 7.579, 8.133, 38.078, 51.017, 10.906,amino
11.22, 32.48, 12.795, 14.37, 39.764, 45.866, 7.087, 4.134, 31.299, 54.921, 13.78,amino
16.308, 27.957, 14.875, 20.072, 41.577, 38.351, 8.961, 7.348, 35.305, 47.491, 17.204,amino
19.495, 26.227, 13.604, 25.666, 36.325, 38.008, 11.781, 7.714, 31.417, 52.314, 16.269,amino
17.966, 24.407, 16.102, 22.034, 39.322, 38.644, 10.0, 7.966, 34.237, 47.288, 18.475,amino
12.667, 32.333, 10.333, 18.667, 37.0, 44.333, 6.667, 6.0, 32.667, 54.0, 13.333,amino
17.91, 25.373, 12.272, 22.554, 39.801, 37.645, 9.619, 8.292, 37.479, 47.595, 14.925,amino
17.185, 25.859, 15.057, 23.732, 38.298, 37.971, 9.165, 8.02, 32.897, 50.082, 17.021,amino
14.379, 31.373, 12.418, 16.993, 39.869, 43.137, 9.804, 4.575, 31.373, 53.595, 15.033,amino
18.573, 23.419, 11.978, 25.437, 38.762, 35.801, 9.421, 9.152, 34.59, 50.202, 15.209,amino
17.207, 24.824, 13.117, 25.106, 37.236, 37.659, 9.732, 7.475, 32.581, 53.456, 13.963,amino
14.653, 28.317, 13.663, 19.01, 40.0, 40.99, 8.317, 6.337, 32.277, 54.059, 13.663,amino
13.007, 26.858, 15.203, 19.595, 39.696, 40.709, 6.757, 6.25, 33.953, 49.324, 16.723,amino
13.014, 30.594, 13.014, 15.753, 40.411, 43.836, 7.991, 5.023, 35.16, 51.142, 13.699,amino
11.603, 30.591, 11.814, 18.143, 39.241, 42.616, 8.228, 3.376, 36.287, 49.156, 14.557,amino
7.85, 31.399, 14.676, 11.945, 43.686, 44.369, 5.461, 2.389, 36.519, 47.782, 15.7,amino
18.321, 30.344, 8.206, 24.427, 34.16, 41.412, 8.969, 9.351, 33.779, 55.344, 10.878,amino
15.052, 23.711, 15.052, 19.381, 43.918, 36.701, 9.485, 5.567, 39.588, 44.33, 16.082,amino
9.213, 29.438, 12.135, 12.809, 45.169, 42.022, 6.067, 3.146, 39.551, 46.966, 13.483,amino
16.928, 26.527, 14.66, 22.688, 36.824, 40.489, 8.901, 8.028, 32.984, 48.691, 18.325,amino
13.616, 33.036, 10.938, 17.411, 38.839, 43.75, 8.929, 4.688, 32.589, 55.134, 12.277,amino
14.916, 26.636, 12.785, 19.787, 39.878, 40.335, 7.763, 7.154, 36.225, 47.945, 15.83,amino
12.6, 28.2, 12.4, 18.0, 40.0, 42.0, 7.2, 5.4, 35.0, 51.0, 14.0,amino
27.237, 26.07, 8.56, 34.241, 32.296, 33.463, 15.564, 11.673, 27.626, 61.479, 10.895,amino
16.123, 25.557, 14.237, 20.069, 40.309, 39.623, 9.091, 7.033, 37.05, 45.798, 17.153,amino
16.771, 24.28, 17.897, 23.78, 36.921, 39.299, 10.013, 6.758, 29.537, 50.814, 19.65,amino
17.07, 24.586, 15.287, 21.783, 39.108, 39.108, 9.045, 8.025, 34.013, 50.064, 15.924,amino
13.929, 32.432, 10.187, 18.503, 38.254, 43.243, 8.732, 5.198, 33.472, 55.509, 11.019,amino
12.944, 29.854, 12.944, 16.075, 38.831, 45.094, 7.724, 5.219, 32.777, 53.445, 13.779,amino
16.165, 28.947, 7.519, 20.865, 41.917, 37.218, 8.271, 7.895, 38.346, 52.068, 9.586,amino
18.901, 25.687, 14.216, 24.071, 37.803, 38.126, 10.662, 8.239, 33.926, 50.242, 15.832,amino
14.629, 29.039, 13.537, 20.524, 36.245, 43.231, 9.17, 5.459, 34.061, 51.092, 14.847,amino
14.757, 28.738, 13.592, 19.417, 38.641, 41.942, 7.379, 7.379, 33.786, 50.291, 15.922,amino
11.792, 30.189, 16.038, 16.981, 40.094, 42.925, 8.491, 3.302, 33.491, 49.057, 17.453,amino
16.227, 25.152, 15.416, 19.473, 41.582, 38.945, 10.345, 5.882, 36.511, 47.465, 16.024,amino
27.162, 21.729, 14.412, 37.805, 30.488, 31.707, 14.745, 12.417, 29.601, 53.437, 16.962,amino
26.369, 25.355, 12.373, 29.209, 35.7, 35.091, 14.199, 12.17, 33.469, 53.144, 13.387,anion
15.347, 31.436, 13.861, 20.792, 33.911, 45.297, 9.406, 5.941, 28.713, 54.95, 16.337,anion
26.059, 17.915, 10.098, 30.293, 42.671, 27.036, 10.098, 15.961, 36.808, 50.163, 13.029,anion
20.805, 21.477, 11.745, 26.51, 40.268, 33.221, 13.423, 7.383, 34.899, 49.664, 15.436,anion
19.295, 26.214, 10.645, 24.95, 38.456, 36.593, 11.178, 8.117, 34.797, 50.566, 14.637,anion
13.722, 33.835, 8.083, 16.165, 40.977, 42.857, 7.895, 5.827, 36.278, 50.188, 13.534,anion
17.114, 26.398, 11.186, 25.615, 36.801, 37.584, 9.843, 7.271, 32.662, 55.593, 11.745,anion
18.198, 25.303, 13.172, 21.837, 39.168, 38.995, 10.572, 7.626, 36.742, 48.007, 15.251,anion
14.026, 29.538, 10.561, 18.482, 41.254, 40.264, 7.591, 6.436, 34.818, 51.65, 13.531,anion
22.36, 23.602, 10.248, 28.261, 40.683, 31.056, 15.217, 7.143, 31.677, 55.901, 12.422,anion
14.308, 25.972, 11.975, 19.285, 41.369, 39.347, 9.176, 5.132, 36.392, 48.212, 15.397,anion
17.668, 20.848, 10.601, 27.562, 42.756, 29.682, 9.541, 8.127, 40.283, 48.41, 11.307,anion
25.806, 23.871, 11.935, 36.129, 25.806, 38.065, 14.516, 11.29, 26.452, 60.645, 12.903,anion
16.074, 26.058, 12.69, 21.151, 42.809, 36.041, 9.983, 6.091, 34.687, 48.562, 16.751,anion
14.286, 26.307, 10.105, 18.815, 41.463, 39.721, 7.317, 6.969, 38.153, 49.129, 12.718,anion
21.351, 26.144, 9.804, 24.183, 38.998, 36.819, 11.983, 9.368, 37.908, 49.891, 12.2,anion
10.49, 34.965, 11.422, 13.753, 40.093, 46.154, 6.061, 4.429, 36.131, 51.282, 12.587,anion
23.306, 27.1, 12.195, 28.726, 32.927, 38.347, 13.279, 10.027, 30.894, 53.523, 15.583,anion
14.829, 27.947, 9.506, 20.342, 41.065, 38.593, 9.125, 5.703, 38.403, 49.43, 12.167,anion
11.447, 24.622, 14.255, 16.415, 42.333, 41.253, 7.343, 4.104, 39.525, 43.197, 17.279,anion
20.102, 24.361, 13.118, 24.361, 40.375, 35.264, 10.733, 9.37, 37.308, 49.233, 13.458,anion
18.0, 21.333, 14.0, 24.667, 40.333, 35.0, 12.333, 5.667, 33.333, 51.333, 15.333,anion
16.308, 26.703, 12.545, 21.147, 40.323, 38.53, 9.857, 6.452, 37.634, 47.312, 15.054,anion
20.026, 29.45, 11.911, 25.785, 34.424, 39.791, 11.387, 8.639, 32.068, 53.534, 14.398,anion
23.201, 21.763, 15.468, 28.237, 36.151, 35.612, 13.849, 9.353, 31.475, 48.921, 19.604,anion
16.16, 22.652, 12.983, 21.823, 41.436, 36.74, 8.978, 7.182, 37.707, 48.204, 14.088,anion
24.275, 21.739, 11.232, 26.087, 47.464, 26.449, 14.493, 9.783, 43.841, 46.377, 9.783,anion
14.469, 22.508, 11.897, 19.936, 47.267, 32.797, 9.003, 5.466, 40.514, 45.981, 13.505,anion
13.279, 26.557, 11.639, 18.525, 41.639, 39.836, 6.721, 6.557, 37.705, 47.869, 14.426,anion
22.697, 26.61, 13.064, 30.283, 32.932, 36.785, 12.402, 10.295, 30.042, 54.064, 15.894,anion
27.292, 22.708, 14.375, 31.354, 34.167, 34.479, 14.896, 12.396, 29.167, 52.396, 18.438,anion
26.38, 23.62, 10.146, 27.273, 41.153, 31.575, 13.88, 12.5, 32.873, 53.49, 13.636,anion
14.799, 28.33, 10.148, 19.027, 41.226, 39.746, 8.879, 5.92, 36.575, 49.683, 13.742,anion
17.363, 29.67, 17.363, 22.198, 30.989, 46.813, 10.769, 6.593, 26.593, 53.187, 20.22,anion
15.101, 23.826, 12.752, 19.128, 44.631, 36.242, 8.725, 6.376, 39.597, 46.98, 13.423,anion
21.885, 25.569, 10.943, 27.844, 35.536, 36.62, 11.159, 10.726, 34.02, 53.738, 12.243,anion
19.097, 27.257, 14.757, 23.264, 35.764, 40.972, 10.59, 8.507, 30.035, 53.125, 16.84,anion
18.475, 26.78, 12.542, 22.203, 39.492, 38.305, 10.508, 7.966, 36.271, 48.305, 15.424,anion
19.231, 30.128, 9.744, 26.026, 34.872, 39.103, 9.744, 9.487, 32.821, 54.359, 12.821,anion
18.358, 24.925, 12.836, 23.284, 36.567, 40.149, 10.448, 7.91, 34.776, 51.194, 14.03,anion
14.629, 27.729, 17.686, 19.869, 35.808, 44.323, 8.952, 5.677, 28.384, 53.057, 18.559,anion
20.803, 21.168, 10.949, 27.737, 45.255, 27.007, 11.679, 9.124, 42.336, 47.445, 10.219,anion
19.581, 27.374, 11.591, 25.147, 36.739, 38.114, 10.675, 8.906, 33.268, 52.325, 14.407,anion
15.645, 26.29, 16.613, 19.516, 38.065, 42.419, 8.387, 7.258, 32.097, 49.194, 18.71,anion
25.623, 20.937, 13.36, 31.605, 35.992, 32.403, 13.36, 12.263, 30.808, 52.841, 16.351,anion
20.775, 29.386, 10.549, 24.865, 36.276, 38.859, 10.011, 10.764, 30.032, 55.974, 13.994,anion
19.487, 28.59, 11.026, 24.103, 36.795, 39.103, 10.769, 8.718, 33.333, 54.103, 12.564,anion
14.576, 27.627, 12.542, 20.169, 36.78, 43.051, 8.814, 5.763, 29.492, 56.61, 13.898,anion
29.379, 17.514, 15.254, 38.983, 33.333, 27.684, 17.514, 11.864, 33.333, 45.198, 21.469,anion
24.468, 21.277, 9.043, 29.787, 36.702, 33.511, 14.362, 10.106, 30.851, 57.447, 11.702,anion
20.847, 22.801, 13.518, 26.221, 37.459, 36.319, 10.261, 10.586, 35.668, 47.883, 16.45,anion
14.545, 27.091, 10.0, 20.545, 38.909, 40.545, 8.545, 6.0, 36.727, 49.273, 14.0,anion
19.381, 25.464, 12.062, 26.701, 35.979, 37.32, 10.0, 9.381, 31.649, 54.021, 14.33,anion
18.923, 22.853, 14.265, 24.745, 38.719, 36.536, 11.499, 7.424, 34.061, 49.927, 16.012,anion
19.35, 28.804, 11.078, 23.929, 36.928, 39.143, 11.965, 7.386, 32.496, 54.948, 12.555,anion
22.34, 19.504, 11.348, 33.333, 40.426, 26.241, 11.702, 10.638, 40.78, 47.872, 11.348,anion
10.491, 29.018, 10.938, 15.848, 42.857, 41.295, 6.473, 4.018, 38.839, 47.098, 14.062,anion
14.016, 26.299, 16.535, 17.953, 38.898, 43.15, 7.244, 6.772, 34.488, 47.087, 18.425,anion
23.82, 23.82, 15.148, 31.175, 31.614, 37.212, 12.404, 11.416, 27.003, 54.665, 18.332,anion
24.103, 22.222, 15.214, 30.085, 36.068, 33.846, 13.162, 10.94, 27.521, 55.214, 17.265,anion
20.342, 27.019, 8.385, 25.466, 40.839, 33.696, 11.18, 9.161, 38.665, 50.311, 11.025,cation
21.239, 27.497, 11.441, 26.802, 34.956, 38.243, 12.073, 9.166, 32.301, 53.097, 14.602,cation
26.806, 19.582, 13.498, 32.129, 35.171, 32.7, 13.118, 13.688, 33.84, 50.57, 15.589,cation
26.426, 17.695, 10.477, 32.829, 40.861, 26.31, 14.086, 12.34, 36.903, 50.175, 12.922,cation
16.587, 27.273, 15.63, 21.372, 39.234, 39.394, 9.569, 7.018, 32.855, 49.123, 18.022,cation
23.729, 16.949, 16.949, 28.814, 38.983, 32.203, 15.254, 8.475, 30.508, 47.458, 22.034,cation
18.447, 28.155, 10.68, 26.214, 37.864, 35.922, 11.65, 6.796, 28.155, 57.282, 14.563,cation
23.197, 24.561, 7.407, 30.409, 39.376, 30.214, 11.696, 11.501, 37.622, 50.682, 11.696,cation
33.333, 23.718, 3.846, 41.667, 29.487, 28.846, 16.667, 16.667, 32.692, 57.692, 9.615,cation
23.931, 24.671, 8.059, 28.289, 38.322, 33.388, 13.24, 10.691, 39.062, 50.74, 10.197,cation
25.139, 20.436, 11.928, 29.842, 38.478, 31.68, 14.365, 10.774, 32.706, 50.363, 16.93,cation
23.369, 23.875, 11.836, 28.427, 35.862, 35.711, 11.887, 11.482, 32.828, 51.593, 15.579,cation
30.165, 19.008, 9.711, 36.157, 38.843, 25.0, 15.702, 14.463, 33.264, 52.893, 13.843,cation
22.878, 25.092, 10.701, 29.151, 36.531, 34.317, 12.915, 9.963, 33.579, 53.137, 13.284,cation
19.134, 27.196, 11.913, 24.308, 36.462, 39.23, 10.229, 8.905, 33.694, 53.791, 12.515,cation
29.114, 24.684, 12.342, 35.127, 28.481, 36.392, 12.025, 17.089, 27.848, 54.114, 18.038,cation
21.577, 23.237, 14.523, 26.556, 34.855, 38.589, 11.618, 9.959, 35.27, 46.888, 17.842,cation
24.208, 28.054, 13.801, 30.769, 27.376, 41.855, 11.312, 12.896, 25.339, 60.407, 14.253,cation
23.551, 25.0, 13.225, 29.167, 33.877, 36.957, 11.413, 12.138, 32.609, 50.543, 16.848,cation
17.957, 24.768, 7.121, 26.935, 40.248, 32.817, 11.146, 6.811, 38.08, 49.845, 12.074,cation
18.775, 28.656, 15.02, 23.32, 34.19, 42.49, 10.87, 7.905, 31.423, 50.791, 17.787,cation
22.427, 26.385, 11.609, 26.385, 38.259, 35.356, 12.665, 9.763, 33.773, 50.923, 15.303,cation
23.553, 21.357, 11.377, 29.94, 36.128, 33.932, 12.974, 10.579, 33.134, 52.096, 14.77,cation
24.52, 22.157, 15.214, 30.576, 34.269, 35.155, 13.442, 11.078, 32.201, 48.744, 19.055,cation
22.168, 22.654, 11.731, 28.317, 36.812, 34.871, 12.055, 10.113, 36.165, 49.757, 14.078,cation
27.481, 19.542, 12.824, 31.603, 38.168, 30.229, 12.519, 14.962, 34.809, 49.313, 15.878,cation
22.901, 21.985, 11.756, 34.046, 34.198, 31.756, 11.603, 11.298, 30.076, 55.42, 14.504,cation
22.857, 20.317, 12.698, 27.143, 41.111, 31.746, 13.016, 9.841, 36.032, 46.667, 17.302,cation
25.885, 22.952, 11.527, 31.345, 35.086, 33.569, 14.055, 11.83, 33.468, 51.365, 15.167,cation
19.797, 21.32, 13.452, 23.604, 43.401, 32.995, 12.69, 7.107, 39.086, 42.64, 18.274,cation
20.573, 25.781, 15.104, 25.26, 33.073, 41.667, 10.938, 9.635, 29.427, 53.125, 17.448,cation
24.541, 18.807, 10.55, 28.44, 43.234, 28.326, 14.794, 9.748, 37.156, 46.56, 16.284,cation
21.855, 24.888, 13.202, 27.565, 34.434, 38.002, 12.756, 9.099, 32.649, 52.721, 14.63,cation
19.483, 25.345, 13.793, 24.138, 37.931, 37.931, 10.862, 8.621, 34.138, 48.966, 16.897,cation
14.028, 23.447, 13.627, 17.435, 45.291, 37.275, 7.615, 6.413, 42.285, 43.487, 14.228,cation
15.929, 33.628, 10.619, 17.699, 38.938, 43.363, 7.965, 7.965, 33.628, 55.752, 10.619,cation
12.621, 31.796, 10.922, 16.99, 40.534, 42.476, 8.495, 4.126, 34.951, 52.67, 12.379,cation
17.703, 34.928, 16.268, 24.402, 27.273, 48.325, 9.569, 8.134, 25.837, 55.024, 19.139,cation
13.351, 31.937, 12.565, 14.398, 41.885, 43.717, 8.377, 4.974, 36.387, 51.832, 11.78,cation
22.164, 27.312, 11.082, 26.527, 37.173, 36.3, 12.216, 9.948, 33.072, 54.014, 12.914,cation
16.435, 29.805, 13.092, 20.056, 37.883, 42.061, 9.471, 6.964, 33.983, 52.368, 13.649,cation
14.85, 31.203, 10.902, 19.925, 37.782, 42.293, 9.023, 5.827, 34.211, 53.383, 12.406,cation
19.381, 17.483, 10.39, 26.673, 47.952, 25.375, 11.688, 7.692, 38.661, 45.155, 16.184,cation
22.626, 21.369, 13.268, 30.587, 35.894, 33.52, 11.173, 11.453, 34.358, 48.603, 17.039,cation
16.594, 24.454, 15.066, 18.996, 42.795, 38.21, 8.079, 8.515, 38.428, 48.472, 13.1,cation
15.647, 27.698, 12.41, 21.043, 37.59, 41.367, 7.914, 7.734, 34.173, 50.36, 15.468,cation
16.304, 25.0, 13.261, 21.522, 40.0, 38.478, 8.478, 7.826, 35.87, 51.957, 12.174,cation
23.116, 24.346, 12.301, 30.19, 31.471, 38.339, 11.43, 11.686, 30.958, 53.306, 15.736,cation
22.266, 24.986, 12.691, 29.745, 29.858, 40.397, 12.238, 10.028, 29.745, 53.938, 16.317,cation
22.502, 25.914, 13.14, 29.813, 33.53, 36.657, 11.576, 10.926, 30.524, 55.057, 14.419,cation
23.158, 23.07, 13.596, 29.386, 34.298, 36.316, 11.93, 11.228, 32.807, 51.228, 15.965,cation
19.682, 25.326, 13.459, 25.326, 36.035, 38.64, 10.564, 9.117, 33.575, 51.375, 15.051,cation
26.247, 25.813, 11.497, 32.104, 31.887, 36.009, 11.931, 14.317, 30.369, 55.315, 14.317,cation
15.556, 35.802, 12.593, 17.037, 35.802, 47.16, 8.889, 6.667, 31.852, 54.321, 13.827,cation
19.33, 23.711, 12.371, 18.557, 47.68, 33.763, 10.567, 8.763, 40.206, 46.907, 12.887,cation
10.117, 31.128, 8.171, 13.23, 44.358, 42.412, 5.447, 4.669, 37.354, 54.475, 8.171,cation
12.207, 31.455, 12.676, 15.023, 41.784, 43.192, 7.042, 5.164, 39.906, 46.948, 13.146,cation
28.767, 27.397, 8.219, 34.247, 30.137, 35.616, 16.438, 12.329, 30.137, 61.644, 8.219,cation
21.19, 25.238, 14.405, 28.571, 31.548, 39.881, 10.833, 10.357, 27.976, 55.595, 16.429,cation
14.286, 21.277, 15.198, 24.316, 39.21, 36.474, 7.295, 6.991, 34.347, 48.024, 17.629,cation
20.694, 23.417, 12.73, 27.297, 36.351, 36.351, 10.892, 9.803, 33.628, 49.489, 16.882,cation
21.433, 26.921, 11.556, 27.566, 34.668, 37.766, 11.75, 9.684, 32.15, 54.035, 13.815,cation
22.889, 18.762, 11.445, 27.392, 42.964, 29.644, 12.57, 10.319, 36.023, 48.218, 15.76,cation
26.923, 17.599, 10.956, 34.266, 39.394, 26.34, 14.219, 12.704, 36.946, 47.902, 15.152,cation
33.641, 18.47, 10.422, 39.05, 34.828, 26.121, 15.04, 18.602, 31.794, 55.673, 12.533,cation
30.882, 20.588, 11.765, 33.824, 38.235, 27.941, 19.118, 11.765, 29.412, 63.235, 7.353,cation
13.653, 34.317, 14.76, 18.081, 33.579, 48.339, 7.749, 5.904, 26.199, 60.148, 13.653,cation
24.95, 25.15, 8.184, 30.739, 38.124, 31.138, 11.377, 13.573, 36.128, 51.697, 12.176,cation
25.087, 23.345, 7.317, 32.753, 36.585, 30.662, 13.937, 11.15, 34.843, 54.704, 10.453,cation
20.916, 26.793, 9.163, 26.892, 35.558, 37.55, 9.661, 11.255, 36.753, 52.789, 10.458,cation
22.828, 23.323, 11.661, 29.491, 35.66, 34.849, 12.022, 10.806, 32.238, 52.499, 15.263,cation
23.714, 21.207, 10.752, 26.689, 41.479, 31.832, 13.09, 10.625, 35.317, 48.831, 15.852,cation
28.846, 18.462, 9.231, 33.654, 42.5, 23.846, 17.308, 11.538, 36.731, 49.038, 14.231,cation
15.574, 29.508, 6.557, 18.852, 43.033, 38.115, 11.066, 4.508, 39.344, 44.672, 15.984,cation
21.338, 25.721, 11.995, 24.452, 37.486, 38.062, 11.303, 10.035, 34.948, 51.557, 13.495,cation
20.266, 20.93, 11.628, 21.595, 48.505, 29.9, 12.625, 7.641, 36.213, 51.163, 12.625,cation
10.983, 19.653, 17.341, 13.873, 45.087, 41.04, 8.092, 2.89, 42.197, 39.306, 18.497,cation
20.344, 28.94, 9.074, 25.024, 37.631, 37.345, 10.506, 9.838, 32.378, 55.205, 12.416,cation
10.606, 32.879, 8.939, 14.091, 40.303, 45.606, 7.273, 3.333, 36.667, 50.303, 13.03,cation
14.252, 33.017, 10.689, 20.19, 35.867, 43.943, 7.838, 6.413, 31.829, 57.007, 11.164,cation
16.981, 30.943, 13.774, 21.698, 35.094, 43.208, 10.755, 6.226, 29.623, 54.906, 15.472,cation
24.194, 21.198, 10.829, 26.959, 40.323, 32.719, 11.982, 12.212, 37.788, 46.083, 16.129,cation
26.714, 24.35, 11.82, 31.678, 33.57, 34.752, 12.766, 13.948, 30.733, 54.61, 14.657,cation
24.924, 26.133, 12.689, 30.514, 33.535, 35.952, 13.595, 11.329, 30.06, 52.87, 17.069,cation
21.702, 22.979, 12.766, 28.511, 33.617, 37.872, 13.191, 8.511, 31.915, 52.766, 15.319,cation
23.491, 21.86, 9.951, 28.711, 39.967, 31.321, 11.746, 11.746, 33.931, 49.918, 16.15,cation
26.138, 19.603, 10.035, 30.338, 39.79, 29.872, 14.586, 11.552, 34.889, 51.575, 13.536,cation
22.137, 20.916, 11.908, 26.718, 40.916, 32.366, 12.672, 9.466, 35.115, 48.702, 16.183,cation
22.692, 21.484, 9.836, 26.23, 43.141, 30.63, 12.77, 9.922, 36.842, 48.404, 14.754,cation
21.844, 21.443, 12.625, 27.655, 40.681, 31.663, 11.423, 10.421, 33.467, 51.904, 14.629,cation
21.827, 27.157, 12.183, 25.635, 31.98, 42.386, 10.914, 10.914, 29.188, 55.838, 14.975,cation
25.688, 19.61, 10.665, 30.275, 41.055, 28.67, 14.22, 11.468, 36.468, 47.248, 16.284,cation
23.631, 25.937, 11.527, 29.683, 32.277, 38.04, 12.392, 11.239, 32.277, 52.161, 15.562,cation
26.781, 24.501, 11.111, 32.194, 35.613, 32.194, 15.385, 11.396, 32.194, 50.997, 16.809,cation
21.084, 21.687, 13.253, 24.699, 45.181, 30.12, 13.253, 7.831, 34.337, 51.506, 14.157,cation
10.843, 36.747, 15.462, 14.458, 37.349, 48.193, 7.028, 3.815, 29.719, 53.614, 16.667,cation
21.884, 34.903, 10.526, 28.809, 29.917, 41.274, 11.911, 9.972, 26.87, 60.388, 12.742,cation
15.133, 26.521, 15.601, 22.153, 36.661, 41.186, 7.8, 7.332, 32.917, 48.674, 18.409,cation
15.205, 32.749, 13.06, 18.908, 35.283, 45.809, 7.992, 7.212, 31.579, 53.801, 14.62,cation
10.951, 25.648, 10.375, 12.68, 51.873, 35.447, 6.628, 4.323, 43.228, 43.516, 13.256,cation
15.144, 28.606, 11.779, 20.913, 40.625, 38.462, 8.413, 6.731, 35.577, 52.644, 11.779,cation
14.545, 28.182, 13.091, 18.545, 41.636, 39.818, 8.364, 6.182, 35.455, 49.455, 15.091,cation
20.657, 28.169, 11.502, 28.404, 31.925, 39.671, 10.329, 10.329, 30.047, 56.573, 13.38,cation
20.382, 27.006, 13.631, 24.204, 38.089, 37.707, 11.21, 9.172, 31.975, 52.611, 15.414,cation
18.087, 24.116, 18.503, 20.998, 40.541, 38.462, 9.563, 8.524, 35.135, 47.817, 17.048,cation
17.838, 27.027, 13.514, 23.063, 36.036, 40.901, 10.27, 7.568, 30.45, 51.892, 17.658,cation
17.452, 28.447, 12.74, 21.291, 40.838, 37.871, 9.075, 8.377, 36.3, 51.832, 11.867,cation
22.113, 24.346, 13.017, 28.377, 33.115, 38.508, 10.076, 12.037, 30.664, 54.303, 15.033,cation
21.03, 17.31, 13.019, 29.757, 40.343, 29.9, 11.731, 9.299, 33.906, 49.213, 16.881,cation
25.966, 25.725, 12.681, 30.435, 34.3, 35.266, 13.527, 12.44, 32.005, 51.087, 16.908,cation
19.13, 28.522, 10.957, 24.174, 36.174, 39.652, 10.087, 9.043, 34.261, 53.043, 12.696,cation
20.873, 27.422, 16.098, 27.422, 30.969, 41.61, 9.277, 11.596, 28.922, 51.023, 20.055,cation
7.5, 34.375, 8.75, 12.5, 42.5, 45.0, 4.375, 3.125, 41.25, 47.5, 11.25,cation
